0,0,8,8348
0,1,8,8341
1,0,8,8342
1,1,8,8343
3,0,8,8346
3,1,8,8347
0,0,9,8358
0,1,9,8351
1,0,9,8352
1,1,9,8353
3,0,9,8356
3,1,9,8357
0,0,10,8368
0,1,10,8361
1,0,10,8362
1,1,10,8363
2,0,10,8364
2,1,10,8365
0,0,11,8378
0,1,11,8371
1,0,11,8372
1,1,11,8373
2,0,11,8374
2,1,11,8375
1,0,12,8482
1,1,12,8483
2,0,12,8484
2,1,12,8485
3,0,12,8486
3,1,12,8487
1,0,13,8412
1,1,13,8413
2,0,13,8414
2,1,13,8415
3,0,13,8416
3,1,13,8417
0,0,14,8428
0,1,14,8421
2,0,14,8424
2,1,14,8425
3,0,14,8426
3,1,14,8427
0,0,15,8438
0,1,15,8431
2,0,15,8434
2,1,15,8435
3,0,15,8436
3,1,15,8437
0,0,16,8468
0,1,16,8461
1,0,16,8462
1,1,16,8463
2,0,16,8464
2,1,16,8465
0,0,17,8478
0,1,17,8471
1,0,17,8472
1,1,17,8473
2,0,17,8474
2,1,17,8475
1,0,18,8582
1,1,18,8583
2,0,18,8584
2,1,18,8585
3,0,18,8586
3,1,18,8587
1,0,19,8512
1,1,19,8513
2,0,19,8514
2,1,19,8515
3,0,19,8516
3,1,19,8517
0,0,20,8528
0,1,20,8521
2,0,20,8524
2,1,20,8525
3,0,20,8526
3,1,20,8527
0,0,21,8538
0,1,21,8531
2,0,21,8534
2,1,21,8535
3,0,21,8536
3,1,21,8537
0,0,22,8568
0,1,22,8561
1,0,22,8562
1,1,22,8563
2,0,22,8564
2,1,22,8565
0,0,23,8578
0,1,23,8571
1,0,23,8572
1,1,23,8573
2,0,23,8574
2,1,23,8575
1,0,24,8682
1,1,24,8683
2,0,24,8684
2,1,24,8685
3,0,24,8686
3,1,24,8687
1,0,25,8612
1,1,25,8613
2,0,25,8614
2,1,25,8615
3,0,25,8616
3,1,25,8617
0,0,26,8628
0,1,26,8621
2,0,26,8624
2,1,26,8625
3,0,26,8626
3,1,26,8627
0,0,27,8638
0,1,27,8631
2,0,27,8634
2,1,27,8635
3,0,27,8636
3,1,27,8637
0,0,28,8648
0,1,28,8641
1,0,28,8642
1,1,28,8643
3,0,28,8646
3,1,28,8647
0,0,29,8658
0,1,29,8651
1,0,29,8652
1,1,29,8653
3,0,29,8656
3,1,29,8657
1,0,30,8782
1,1,30,8783
2,0,30,8784
2,1,30,8785
3,0,30,8786
3,1,30,8787
1,0,31,8712
1,1,31,8713
2,0,31,8714
2,1,31,8715
3,0,31,8716
3,1,31,8717
0,0,32,8728
0,1,32,8721
2,0,32,8724
2,1,32,8725
3,0,32,8726
3,1,32,8727
0,0,33,8738
0,1,33,8731
2,0,33,8734
2,1,33,8735
3,0,33,8736
3,1,33,8737
0,0,34,8748
0,1,34,8741
1,0,34,8742
1,1,34,8743
3,0,34,8746
3,1,34,8747
0,0,35,8758
0,1,35,8751
1,0,35,8752
1,1,35,8753
3,0,35,8756
3,1,35,8757
1,0,36,1282
1,1,36,1283
2,0,36,1284
2,1,36,1285
3,0,36,1286
3,1,36,1287
1,0,37,1212
1,1,37,1213
2,0,37,1214
2,1,37,1215
3,0,37,1216
3,1,37,1217
0,0,38,1248
0,1,38,1241
1,0,38,1242
1,1,38,1243
3,0,38,1246
3,1,38,1247
0,0,39,1258
0,1,39,1251
1,0,39,1252
1,1,39,1253
3,0,39,1256
3,1,39,1257
0,0,40,1268
0,1,40,1261
1,0,40,1262
1,1,40,1263
2,0,40,1264
2,1,40,1265
0,0,41,1278
0,1,41,1271
1,0,41,1272
1,1,41,1273
2,0,41,1274
2,1,41,1275
1,0,42,1382
1,1,42,1383
2,0,42,1384
2,1,42,1385
3,0,42,1386
3,1,42,1387
1,0,43,1312
1,1,43,1313
2,0,43,1314
2,1,43,1315
3,0,43,1316
3,1,43,1317
0,0,44,1348
0,1,44,1341
1,0,44,1342
1,1,44,1343
3,0,44,1346
3,1,44,1347
0,0,45,1358
0,1,45,1351
1,0,45,1352
1,1,45,1353
3,0,45,1356
3,1,45,1357
